2024-04-30T01:39:33.945Z [INFO]  agent: Caught: signal=terminated
2024-04-30T01:39:33.952Z [INFO]  agent: Graceful shutdown disabled. Exiting
2024-04-30T01:39:33.960Z [INFO]  agent: Requesting shutdown
2024-04-30T01:39:33.984Z [INFO]  agent.server: shutting down server
2024-04-30T01:39:33.988Z [INFO]  agent.leader: stopping routine: routine="intermediate cert renew watch"
2024-04-30T01:39:33.993Z [INFO]  agent.leader: stopping routine: routine="CA root expiration metric"
2024-04-30T01:39:33.998Z [INFO]  agent.leader: stopping routine: routine="CA signing expiration metric"
2024-04-30T01:39:34.002Z [INFO]  agent.leader: stopping routine: routine="federation state anti-entropy"
2024-04-30T01:39:33.998Z [INFO]  agent.leader: stopped routine: routine="config entry controllers"
2024-04-30T01:39:33.996Z [WARN]  agent.controller-runtime: error received from watch: managed_type=catalog.v1alpha1.Workload error="rpc error: code = Unavailable desc = error reading from server: io: read/write on closed pipe"
2024-04-30T01:39:33.996Z [INFO]  agent.leader: stopped routine: routine="intermediate cert renew watch"
2024-04-30T01:39:33.996Z [WARN]  agent.controller-runtime: error received from watch: managed_type=catalog.v1alpha1.Node error="rpc error: code = Unavailable desc = error reading from server: io: read/write on closed pipe"
2024-04-30T01:39:33.996Z [WARN]  agent.controller-runtime: error received from watch: managed_type=demo.v2.Artist error="rpc error: code = Unavailable desc = error reading from server: io: read/write on closed pipe"
2024-04-30T01:39:33.996Z [WARN]  agent.controller-runtime: error received from watch: managed_type=catalog.v1alpha1.ServiceEndpoints error="rpc error: code = Unavailable desc = error reading from server: io: read/write on closed pipe"
2024-04-30T01:39:33.996Z [WARN]  agent.controller-runtime: error received from watch: managed_type=demo.v2.Artist error="rpc error: code = Unavailable desc = error reading from server: io: read/write on closed pipe"
2024-04-30T01:39:33.996Z [WARN]  agent.controller-runtime: error received from watch: managed_type=catalog.v1alpha1.ServiceEndpoints error="rpc error: code = Unavailable desc = error reading from server: io: read/write on closed pipe"
2024-04-30T01:39:33.996Z [WARN]  agent.controller-runtime: error received from watch: managed_type=catalog.v1alpha1.Workload error="rpc error: code = Unavailable desc = error reading from server: io: read/write on closed pipe"
2024-04-30T01:39:33.996Z [WARN]  agent.controller-runtime: error received from watch: managed_type=catalog.v1alpha1.Workload error="rpc error: code = Unavailable desc = error reading from server: io: read/write on closed pipe"
2024-04-30T01:39:33.996Z [WARN]  agent.controller-runtime: error received from watch: managed_type=catalog.v1alpha1.Node error="rpc error: code = Unavailable desc = error reading from server: io: read/write on closed pipe"
2024-04-30T01:39:33.996Z [WARN]  agent.controller-runtime: error received from watch: managed_type=catalog.v1alpha1.ServiceEndpoints error="rpc error: code = Unavailable desc = error reading from server: io: read/write on closed pipe"
2024-04-30T01:39:33.994Z [WARN]  agent.controller-runtime: error received from watch: managed_type=internal.v1.Tombstone error="rpc error: code = Unavailable desc = error reading from server: io: read/write on closed pipe"
2024-04-30T01:39:33.998Z [INFO]  agent.leader: stopped routine: routine="CA root expiration metric"
2024-04-30T01:39:34.003Z [INFO]  agent.leader: stopped routine: routine="CA signing expiration metric"
2024-04-30T01:39:34.008Z [INFO]  agent.leader: stopping routine: routine="streaming peering resources"
2024-04-30T01:39:34.008Z [INFO]  agent.leader: stopped routine: routine="federation state anti-entropy"
2024-04-30T01:39:34.071Z [INFO]  agent.leader: stopping routine: routine="metrics for streaming peering resources"
2024-04-30T01:39:34.078Z [INFO]  agent.leader: stopping routine: routine="peering deferred deletion"
2024-04-30T01:39:34.071Z [INFO]  agent.leader: stopped routine: routine="streaming peering resources"
2024-04-30T01:39:34.078Z [INFO]  agent.server.peering_metrics: stopping peering metrics
2024-04-30T01:39:34.080Z [INFO]  agent.leader: stopping routine: routine="CA root pruning"
2024-04-30T01:39:34.080Z [INFO]  agent.leader: stopped routine: routine="peering deferred deletion"
2024-04-30T01:39:34.085Z [INFO]  agent.leader: stopped routine: routine="metrics for streaming peering resources"
2024-04-30T01:39:34.086Z [INFO]  agent.leader: stopping routine: routine="federation state pruning"
2024-04-30T01:39:34.086Z [INFO]  agent.leader: stopped routine: routine="CA root pruning"
2024-04-30T01:39:34.092Z [INFO]  agent.leader: stopped routine: routine="federation state pruning"
2024-04-30T01:39:34.094Z [INFO]  agent.leader: stopping routine: routine="federation state pruning"
2024-04-30T01:39:34.097Z [INFO]  agent.server.autopilot: reconciliation now disabled
2024-04-30T01:39:34.094Z [WARN]  agent.server.serf.lan: serf: Shutdown without a Leave
2024-04-30T01:39:34.103Z [WARN]  agent.server.serf.wan: serf: Shutdown without a Leave
2024-04-30T01:39:34.107Z [INFO]  agent.router.manager: shutting down
2024-04-30T01:39:34.107Z [INFO]  agent.router.manager: shutting down
2024-04-30T01:39:34.110Z [INFO]  agent: consul server down
2024-04-30T01:39:34.111Z [INFO]  agent: shutdown complete
2024-04-30T01:39:34.114Z [INFO]  agent: Stopping server: protocol=DNS address=0.0.0.0:8600 network=tcp
2024-04-30T01:39:34.117Z [INFO]  agent: Stopping server: protocol=DNS address=0.0.0.0:8600 network=udp
2024-04-30T01:39:34.121Z [INFO]  agent: Stopping server: address=[::]:8500 network=tcp protocol=http
2024-04-30T01:39:34.124Z [INFO]  agent: Waiting for endpoints to shut down
2024-04-30T01:39:34.125Z [INFO]  agent: Endpoints down
2024-04-30T01:39:34.127Z [INFO]  agent: Exit code: code=1
2024-04-30T01:39:36.106Z [WARN]  agent: The 'ui' field is deprecated. Use the 'ui_config.enabled' field instead.
2024-04-30T01:39:36.107Z [WARN]  agent: BootstrapExpect is set to 1; this is the same as Bootstrap mode.
2024-04-30T01:39:36.108Z [WARN]  agent: bootstrap = true: do not enable unless necessary
2024-04-30T01:39:36.129Z [WARN]  agent.auto_config: The 'ui' field is deprecated. Use the 'ui_config.enabled' field instead.
2024-04-30T01:39:36.130Z [WARN]  agent.auto_config: BootstrapExpect is set to 1; this is the same as Bootstrap mode.
2024-04-30T01:39:36.136Z [WARN]  agent.auto_config: bootstrap = true: do not enable unless necessary
2024-04-30T01:39:36.162Z [INFO]  agent.server.raft: initial configuration: index=1 servers="[{Suffrage:Voter ID:dc6a6ddd-0730-b5e4-c681-6eecc2c2113e Address:192.168.160.2:8300}]"
2024-04-30T01:39:36.166Z [INFO]  agent.server.raft: entering follower state: follower="Node at 192.168.160.2:8300 [Follower]" leader-address= leader-id=
2024-04-30T01:39:36.171Z [INFO]  agent.server.serf.wan: serf: EventMemberJoin: consul.dc1 192.168.160.2
2024-04-30T01:39:36.174Z [INFO]  agent.server.serf.lan: serf: EventMemberJoin: consul 192.168.160.2
2024-04-30T01:39:36.176Z [INFO]  agent.router: Initializing LAN area manager
2024-04-30T01:39:36.182Z [INFO]  agent.server: Handled event for server in area: event=member-join server=consul.dc1 area=wan
2024-04-30T01:39:36.183Z [INFO]  agent.server: Adding LAN server: server="consul (Addr: tcp/192.168.160.2:8300) (DC: dc1)"
2024-04-30T01:39:36.185Z [INFO]  agent.server.autopilot: reconciliation now disabled
2024-04-30T01:39:36.192Z [INFO]  agent.server.cert-manager: initialized server certificate management
2024-04-30T01:39:36.201Z [INFO]  agent: Started DNS server: address=0.0.0.0:8600 network=tcp
2024-04-30T01:39:36.203Z [INFO]  agent: Started DNS server: address=0.0.0.0:8600 network=udp
2024-04-30T01:39:36.205Z [INFO]  agent: Starting server: address=[::]:8500 network=tcp protocol=http
2024-04-30T01:39:36.207Z [INFO]  agent: Started gRPC listeners: port_name=grpc address=[::]:8502 network=tcp
2024-04-30T01:39:36.207Z [INFO]  agent: Started gRPC listeners: port_name=grpc_tls address=[::]:8503 network=tcp
2024-04-30T01:39:36.208Z [INFO]  agent: started state syncer
2024-04-30T01:39:36.213Z [INFO]  agent: Consul agent running!
2024-04-30T01:39:36.212Z [WARN]  agent.server.raft: heartbeat timeout reached, starting election: last-leader-addr= last-leader-id=
2024-04-30T01:39:36.219Z [INFO]  agent.server.raft: entering candidate state: node="Node at 192.168.160.2:8300 [Candidate]" term=2
